Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_Mix,Payment_Behaviour,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Monthly_Inhand_Salary,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month
3.0,1.0,2.0,33.22495078663659,321.0,No,58.51597569589465,466.46647639764313,Standard,Good,High_spent_Large_value_payments,28.0,34847.84,2.0,4.0,6.0,1.0,3037.986666666666,5.42,605.03,18.816214573128885
3.0,3.0,2.0,39.18265565546884,322.0,No,99.30622796053305,465.6762241330048,Good,Good,High_spent_Large_value_payments,28.0,34847.84,2.0,4.0,6.0,1.0,3037.986666666666,5.42,605.03,18.816214573128885
3.0,1.0,2.0,34.97789474709241,323.0,No,130.11542024292334,444.8670318506144,Good,Good,High_spent_Large_value_payments,28.0,34847.84,2.0,4.0,6.0,1.0,3037.986666666666,5.42,605.03,18.816214573128885
3.0,0.0,2.0,33.38101020065065,324.0,No,43.477190144355745,481.505261949182,Good,Good,High_spent_Large_value_payments,28.0,34847.84,2.0,4.0,6.0,1.0,3037.986666666666,5.42,605.03,18.816214573128885
3.0,4.0,2.0,31.131701611553307,325.0,NM,70.10177420755677,464.8806778859809,Good,Good,High_spent_Large_value_payments,28.0,34847.84,2.0,4.0,6.0,1.0,3037.986666666666,5.42,605.03,18.816214573128885
3.0,4.0,2.0,32.933856293622235,326.0,No,218.90434353388733,356.07810855965045,Good,Good,High_spent_Large_value_payments,28.0,34847.84,2.0,4.0,6.0,1.0,3037.986666666666,5.42,605.03,18.816214573128885
5.0,8.0,3.0,28.616734823006844,213.0,No,168.413702679309,1043.3159778669492,Good,Good,High_spent_Small_value_payments,34.0,143162.64,1.0,5.0,8.0,3.0,12187.22,7.1,1303.01,246.9923194537421
13.0,6.0,3.0,41.70257342393906,214.0,No,232.86038375993544,998.8692967863226,Good,Good,High_spent_Small_value_payments,34.0,143162.64,1.0,5.0,8.0,3.0,12187.22,7.1,1303.01,246.9923194537421
8.0,7.0,3.0,26.519815391546494,215.0,No,260.4911312936646,715.741367403555,Good,Good,High_spent_Small_value_payments,34.0,143162.64,1.0,5.0,8.0,3.0,12187.22,7.1,1303.01,246.9923194537421
8.0,5.0,3.0,39.50164810812735,215.0,No,825.2162699393922,426.5134106068658,Good,Good,High_spent_Small_value_payments,34.0,143162.64,1.0,5.0,8.0,3.0,12187.22,7.1,1303.01,246.9923194537421
10.0,5.0,3.0,31.37614957421204,217.0,No,430.9475278803298,810.7821526659284,Good,Good,High_spent_Small_value_payments,34.0,143162.64,1.0,5.0,8.0,3.0,12187.22,7.1,1303.01,246.9923194537421
8.0,6.0,3.0,39.78399345802119,218.0,No,257.80809942568976,963.9215811205684,Good,Good,High_spent_Small_value_payments,34.0,143162.64,1.0,5.0,8.0,3.0,12187.22,7.1,1303.01,246.9923194537421
8.0,6.0,3.0,38.068623627698585,219.0,No,263.17416316163934,968.5555173846187,Standard,Good,High_spent_Small_value_payments,34.0,143162.64,1.0,5.0,8.0,3.0,12187.22,7.1,1303.01,246.9923194537421
8.0,6.0,3.0,38.37475294778511,220.0,No,260.4911312936646,895.494583180492,Standard,Good,High_spent_Small_value_payments,34.0,143162.64,1.0,5.0,8.0,3.0,12187.22,7.1,1303.01,246.9923194537421
0.0,6.0,4.0,26.54422872407309,207.0,No,81.22885871073616,433.6047729627723,Standard,Good,Low_spent_Large_value_payments,55.0,30689.89,2.0,5.0,4.0,1.0,2612.4908333333333,1.99,632.46,16.415451659824875
5.0,3.0,4.0,35.279981779008544,208.0,No,124.88181990234848,409.95181177115995,Standard,Good,Low_spent_Large_value_payments,55.0,30689.89,2.0,5.0,4.0,1.0,2612.4908333333333,1.99,632.46,16.415451659824875
3.0,9.0,4.0,32.30116343180253,209.0,NM,83.40650880252501,411.42712287098345,Standard,Good,Low_spent_Large_value_payments,55.0,30689.89,2.0,5.0,4.0,1.0,2612.4908333333333,1.99,632.46,16.415451659824875
7.0,6.0,4.0,38.132348192570056,210.0,No,272.3340373956682,262.4995942778403,Standard,Good,Low_spent_Large_value_payments,55.0,30689.89,2.0,5.0,4.0,1.0,2612.4908333333333,1.99,632.46,16.415451659824875
5.0,6.0,4.0,41.15431654696947,211.0,No,84.95284817115969,359.37491550776383,Standard,Good,Low_spent_Large_value_payments,55.0,30689.89,2.0,5.0,4.0,1.0,2612.4908333333333,1.99,632.46,16.415451659824875
5.0,6.0,4.0,27.4454217928553,212.0,No,84.95284817115969,419.8807835023488,Standard,Good,Low_spent_Large_value_payments,55.0,30689.89,2.0,5.0,4.0,1.0,2612.4908333333333,1.99,632.46,16.415451659824875
5.0,6.0,4.0,26.05639527857161,213.0,No,71.28367488286933,443.5499567906391,Standard,Good,Low_spent_Large_value_payments,55.0,30689.89,2.0,5.0,4.0,1.0,2612.4908333333333,1.99,632.46,16.415451659824875
4.0,9.0,4.0,27.332514927554215,214.0,No,125.61725053231268,379.21638114119577,Standard,Good,Low_spent_Large_value_payments,55.0,30689.89,2.0,5.0,4.0,1.0,2612.4908333333333,1.99,632.46,16.415451659824875
5.0,12.0,4.0,39.79776423199917,368.0,Yes,276.72539431736266,288.60552234930395,Standard,Standard,High_spent_Medium_value_payments,21.0,35547.71,7.0,5.0,5.0,0.0,2853.3091666666664,2.58,943.86,0.0
9.0,12.0,4.0,27.02036025389693,369.0,NM,74.44364104999623,460.88727561667037,Standard,Standard,High_spent_Medium_value_payments,21.0,35547.71,7.0,5.0,5.0,0.0,2853.3091666666664,2.58,943.86,0.0
5.0,12.0,4.0,23.462303036448013,370.0,Yes,173.13865100158367,392.1922656650829,Standard,Standard,High_spent_Medium_value_payments,21.0,35547.71,7.0,5.0,5.0,0.0,2853.3091666666664,2.58,943.86,0.0
1.0,15.0,4.0,28.924953778098622,371.0,Yes,96.78548508587444,438.5454315807922,Standard,Standard,High_spent_Medium_value_payments,21.0,35547.71,7.0,5.0,5.0,0.0,2853.3091666666664,2.58,943.86,0.0
9.0,17.0,4.0,41.77618715055719,372.0,Yes,62.72327834435009,482.6076383223166,Standard,Standard,High_spent_Medium_value_payments,21.0,35547.71,7.0,5.0,5.0,0.0,2853.3091666666664,2.58,943.86,0.0
5.0,15.0,4.0,29.217556326688413,373.0,Yes,37.64363788963997,497.6872787770267,Standard,Standard,High_spent_Medium_value_payments,21.0,35547.71,7.0,5.0,5.0,0.0,2853.3091666666664,2.58,943.86,0.0
10.0,15.0,4.0,26.263822692130155,374.0,Yes,181.0119827315892,394.31893393507744,Standard,Standard,High_spent_Medium_value_payments,21.0,35547.71,7.0,5.0,5.0,0.0,2853.3091666666664,2.58,943.86,0.0
1.0,15.0,4.0,25.86292247432155,375.0,Yes,181.33090096186916,364.00001570479753,Standard,Standard,High_spent_Medium_value_payments,21.0,35547.71,7.0,5.0,5.0,0.0,2853.3091666666664,2.58,943.86,0.0
12.0,10.0,2.0,39.96268501363903,384.0,No,98.67440994166124,740.1960900583389,Good,Good,Low_spent_Large_value_payments,31.0,73928.46,4.0,5.0,8.0,0.0,5988.705000000001,10.14,548.2,0.0
8.0,7.0,2.0,42.76986440325711,384.0,NM,172.93921446875606,705.931285531244,Good,Good,Low_spent_Large_value_payments,31.0,73928.46,4.0,5.0,8.0,0.0,5988.705000000001,10.14,548.2,0.0
8.0,7.0,2.0,40.7121865299296,384.0,No,150.05973429800815,698.8107657019921,Good,Good,Low_spent_Large_value_payments,31.0,73928.46,4.0,5.0,8.0,0.0,5988.705000000001,10.14,548.2,0.0
8.0,7.0,2.0,30.201657705809275,386.0,No,618.2023912505837,270.66810874941655,Good,Good,Low_spent_Large_value_payments,31.0,73928.46,4.0,5.0,8.0,0.0,5988.705000000001,10.14,548.2,0.0
11.0,7.0,2.0,26.33331042687101,387.0,No,177.95183568608738,690.9186643139128,Good,Good,Low_spent_Large_value_payments,31.0,73928.46,4.0,5.0,8.0,0.0,5988.705000000001,10.14,548.2,0.0
7.0,7.0,2.0,35.2754365244368,387.0,No,235.79032503182026,633.0801749681799,Good,Good,Low_spent_Large_value_payments,31.0,73928.46,4.0,5.0,8.0,0.0,5988.705000000001,10.14,548.2,0.0
8.0,4.0,2.0,36.62479126183764,389.0,No,348.5093995125948,510.36110048740534,Standard,Good,Low_spent_Large_value_payments,31.0,73928.46,4.0,5.0,8.0,0.0,5988.705000000001,10.14,548.2,0.0
8.0,7.0,2.0,31.58098966831768,390.0,No,42.63559025189578,796.2349097481042,Good,Good,Low_spent_Large_value_payments,31.0,73928.46,4.0,5.0,8.0,0.0,5988.705000000001,10.14,548.2,0.0
0.0,3.0,2.0,32.200508995391914,367.0,NM,378.1712535207537,858.462474411158,Good,Good,High_spent_Large_value_payments,34.0,131313.4,0.0,1.0,8.0,2.0,10469.207759388815,9.34,352.16,911.2201793459374
0.0,2.0,4.0,31.98371000755867,368.0,No,698.8732707169384,547.7604572149734,Good,Good,High_spent_Large_value_payments,34.0,131313.4,0.0,1.0,8.0,2.0,10469.207759388815,9.34,352.16,911.2201793459374
0.0,3.0,4.0,31.803134495092277,369.0,NM,188.06432109973838,1038.5694068321734,Good,Good,High_spent_Large_value_payments,34.0,131313.4,0.0,1.0,8.0,2.0,10469.207759388815,9.34,352.16,911.2201793459374
0.0,2.0,4.0,42.64578489930634,370.0,No,337.43495631738324,899.1987716145285,Good,Good,High_spent_Large_value_payments,34.0,131313.4,0.0,1.0,8.0,2.0,10469.207759388815,9.34,352.16,911.2201793459374
0.0,4.0,4.0,40.902517150451615,371.0,No,263.3789089320552,963.2548189998564,Good,Good,High_spent_Large_value_payments,34.0,131313.4,0.0,1.0,8.0,2.0,10469.207759388815,9.34,352.16,911.2201793459374
0.0,3.0,4.0,41.98016961054943,372.0,No,86.56638801207531,1140.0673399198365,Standard,Good,High_spent_Large_value_payments,34.0,131313.4,0.0,1.0,8.0,2.0,10469.207759388815,9.34,352.16,911.2201793459374
0.0,2.0,4.0,26.94756515223988,373.0,No,930.3918977796665,326.24183015224526,Good,Good,High_spent_Large_value_payments,34.0,131313.4,0.0,1.0,8.0,2.0,10469.207759388815,9.34,352.16,911.2201793459374
0.0,2.0,4.0,29.18791265416669,374.0,No,870.52238171816,396.1113462137519,Good,Good,High_spent_Large_value_payments,34.0,131313.4,0.0,1.0,8.0,2.0,10469.207759388815,9.34,352.16,911.2201793459374
30.0,11.0,5.0,24.44806274625548,176.0,NM,162.4410091967751,298.19215813115227,Poor,Standard,Low_spent_Large_value_payments,30.0,34081.38,8.0,7.0,15.0,3.0,2611.115,17.13,1704.18,70.47833267207261
30.0,14.0,5.0,35.171160021263034,176.0,Yes,38.4369827577036,392.19618457022375,Poor,Standard,Low_spent_Large_value_payments,30.0,34081.38,8.0,7.0,15.0,3.0,2611.115,17.13,1704.18,70.47833267207261
31.0,14.0,5.0,35.11155247196594,177.0,Yes,199.7207654954979,260.9124018324295,Poor,Standard,Low_spent_Large_value_payments,30.0,34081.38,8.0,7.0,15.0,3.0,2611.115,17.13,1704.18,70.47833267207261
34.0,14.0,5.0,29.76215930632113,178.0,Yes,220.55219192916718,260.0809753987602,Poor,Standard,Low_spent_Large_value_payments,30.0,34081.38,8.0,7.0,15.0,3.0,2611.115,17.13,1704.18,70.47833267207261
27.0,14.0,5.0,30.206214222610893,179.0,Yes,108.95039491801701,397.2283547370202,Standard,Standard,Low_spent_Large_value_payments,30.0,34081.38,8.0,7.0,15.0,3.0,2611.115,17.13,1704.18,70.47833267207261
30.0,14.0,5.0,31.17087232096111,180.0,Yes,108.95039491801701,410.6743660782873,Standard,Standard,Low_spent_Large_value_payments,30.0,34081.38,8.0,7.0,15.0,3.0,2611.115,17.13,1704.18,70.47833267207261
30.0,11.0,5.0,38.438505084064886,181.0,NM,55.45978063925893,395.17338668866836,Standard,Standard,Low_spent_Large_value_payments,30.0,34081.38,8.0,7.0,15.0,3.0,2611.115,17.13,1704.18,70.47833267207261
30.0,14.0,9.0,33.82348834412097,182.0,Yes,29.32636371091455,411.3068036170128,Poor,Standard,Low_spent_Large_value_payments,30.0,34081.38,8.0,7.0,15.0,3.0,2611.115,17.13,1704.18,70.47833267207261
13.0,11.0,3.0,33.66455429077268,256.0,No,215.19351594560425,802.3004421328528,Good,Good,High_spent_Small_value_payments,23.0,114838.41,2.0,5.0,7.0,3.0,9843.8675,8.24,1377.74,226.8927919215432
14.0,8.0,3.0,27.62632548676964,257.0,NM,212.23560220847847,785.2583558699787,Good,Good,High_spent_Small_value_payments,23.0,114838.41,2.0,5.0,7.0,3.0,9843.8675,8.24,1377.74,226.8927919215432
11.0,11.0,3.0,35.14156730186042,258.0,NM,470.3857956796373,547.1081623988198,Good,Good,High_spent_Small_value_payments,23.0,114838.41,2.0,5.0,7.0,3.0,9843.8675,8.24,1377.74,226.8927919215432
11.0,14.0,8.0,30.4590318418306,259.0,No,225.08204945419,772.411908624267,Good,Good,High_spent_Small_value_payments,23.0,114838.41,2.0,5.0,7.0,3.0,9843.8675,8.24,1377.74,226.8927919215432
11.0,11.0,8.0,29.819186633421047,260.0,No,649.8093641841638,367.6845938942932,Standard,Good,High_spent_Small_value_payments,23.0,114838.41,2.0,5.0,7.0,3.0,9843.8675,8.24,1377.74,226.8927919215432
13.0,14.0,8.0,26.114213868949623,261.0,NM,546.3805705230692,491.11338755538793,Good,Good,High_spent_Small_value_payments,23.0,114838.41,2.0,5.0,7.0,3.0,9843.8675,8.24,1377.74,226.8927919215432
11.0,14.0,8.0,31.76751564697107,262.0,No,215.4682977385688,792.0256603398883,Good,Good,High_spent_Small_value_payments,23.0,114838.41,2.0,5.0,7.0,3.0,9843.8675,8.24,1377.74,226.8927919215432
11.0,11.0,8.0,27.813353640375272,263.0,No,254.57176724837916,742.9221908300779,Standard,Good,High_spent_Small_value_payments,23.0,114838.41,2.0,5.0,7.0,3.0,9843.8675,8.24,1377.74,226.8927919215432
4.0,0.0,2.0,29.51935255713933,318.0,NM,154.352781097101,341.55442316289026,Good,Good,Low_spent_Small_value_payments,44.0,31370.8,1.0,6.0,12.0,2.0,2825.233333333333,5.76,421.43,46.61612907334207
2.0,0.0,2.0,28.22048095698559,318.0,No,298.7444693112266,227.1627349487646,Good,Good,Low_spent_Small_value_payments,44.0,31370.8,1.0,6.0,12.0,2.0,2825.233333333333,5.76,421.43,46.61612907334207
2.0,0.0,5.0,31.04641790511995,319.0,No,140.8206959818371,375.0865082781542,Good,Good,Low_spent_Small_value_payments,44.0,31370.8,1.0,6.0,12.0,2.0,2825.233333333333,5.76,421.43,46.61612907334207
1.0,0.0,5.0,30.1680304036694,320.0,No,233.6055264233428,292.3016778366485,Good,Good,Low_spent_Small_value_payments,44.0,31370.8,1.0,6.0,12.0,2.0,2825.233333333333,5.76,421.43,46.61612907334207
1.0,0.0,5.0,25.18923173183331,321.0,No,184.70057162057685,341.20663263941435,Good,Good,Low_spent_Small_value_payments,44.0,31370.8,1.0,6.0,12.0,2.0,2825.233333333333,5.76,421.43,46.61612907334207
1.0,0.0,5.0,25.502468550245663,321.0,No,137.71742489512621,378.18977936486505,Good,Good,Low_spent_Small_value_payments,44.0,31370.8,1.0,6.0,12.0,2.0,2825.233333333333,5.76,421.43,46.61612907334207
1.0,2.0,5.0,22.762202172732568,323.0,No,188.3949004901688,337.51230376982244,Good,Good,Low_spent_Small_value_payments,44.0,31370.8,1.0,6.0,12.0,2.0,2825.233333333333,5.76,421.43,46.61612907334207
1.0,2.0,5.0,37.56505276771999,324.0,No,252.6448271968889,273.2623770631024,Good,Good,Low_spent_Small_value_payments,44.0,31370.8,1.0,6.0,12.0,2.0,2825.233333333333,5.76,421.43,46.61612907334207
16.0,20.0,4.0,37.08907564543987,230.0,NM,117.30669710658556,362.54571194023237,Standard,Standard,High_spent_Large_value_payments,40.0,33751.27,5.0,5.0,20.0,3.0,2948.605833333333,11.0,1328.93,65.00817428651536
16.0,20.0,4.0,30.908080633467584,231.0,Yes,70.13107792087979,399.7213311259382,Standard,Standard,High_spent_Large_value_payments,40.0,33751.27,5.0,5.0,20.0,3.0,2948.605833333333,11.0,1328.93,65.00817428651536
16.0,20.0,8.0,38.03072168039317,232.0,Yes,270.18258222151513,229.6698268253028,Standard,Standard,High_spent_Large_value_payments,40.0,33751.27,5.0,5.0,20.0,3.0,2948.605833333333,11.0,1328.93,65.00817428651536
17.0,22.0,8.0,23.40441277698757,233.0,Yes,25.192561910314712,444.65984713650323,Standard,Standard,High_spent_Large_value_payments,40.0,33751.27,5.0,5.0,20.0,3.0,2948.605833333333,11.0,1328.93,65.00817428651536
16.0,20.0,8.0,29.073758182245705,234.0,Yes,243.32968479530567,276.5227242515123,Standard,Standard,High_spent_Large_value_payments,40.0,33751.27,5.0,5.0,20.0,3.0,2948.605833333333,11.0,1328.93,65.00817428651536
16.0,20.0,8.0,32.78263672653516,235.0,Yes,72.86008181289458,406.9923272339233,Standard,Standard,High_spent_Large_value_payments,40.0,33751.27,5.0,5.0,20.0,3.0,2948.605833333333,11.0,1328.93,65.00817428651536
16.0,20.0,8.0,35.58400504980836,236.0,Yes,35.427169541683696,444.4252395051343,Standard,Standard,High_spent_Large_value_payments,40.0,33751.27,5.0,5.0,20.0,3.0,2948.605833333333,11.0,1328.93,65.00817428651536
16.0,17.0,8.0,31.13948358493632,236.0,Yes,25.969611914778515,443.88279713203934,Standard,Standard,High_spent_Large_value_payments,40.0,33751.27,5.0,5.0,20.0,3.0,2948.605833333333,11.0,1328.93,65.00817428651536
4.0,0.0,3.0,28.210617211444603,305.0,No,98.93176402067013,732.563531674279,Standard,Good,High_spent_Large_value_payments,33.0,88640.24,3.0,6.0,1.0,2.0,7266.686666666667,3.51,950.36,135.17337097171767
4.0,2.0,3.0,41.036168282350594,306.0,NM,157.174788304235,674.3205073907143,Good,Good,High_spent_Large_value_payments,33.0,88640.24,3.0,6.0,1.0,2.0,7266.686666666667,3.51,950.36,135.17337097171767
4.0,0.0,3.0,34.67019437922772,307.0,No,298.1889114624804,543.3063842324688,Standard,Good,High_spent_Large_value_payments,33.0,88640.24,3.0,6.0,1.0,2.0,7266.686666666667,3.51,950.36,135.17337097171767
4.0,2.0,3.0,31.82853557484664,308.0,No,164.0748218779106,86.63611982901625,Standard,Good,High_spent_Large_value_payments,33.0,88640.24,3.0,6.0,1.0,2.0,7266.686666666667,3.51,950.36,135.17337097171767
4.0,2.0,3.0,34.702836927947075,309.0,No,279.61862207772435,561.8766736172248,Good,Good,High_spent_Large_value_payments,33.0,88640.24,3.0,6.0,1.0,2.0,7266.686666666667,3.51,950.36,135.17337097171767
4.0,0.0,3.0,38.32363895436978,310.0,No,686.1262165951837,195.36907909976551,Good,Good,High_spent_Large_value_payments,33.0,88640.24,3.0,6.0,1.0,2.0,7266.686666666667,3.51,950.36,135.17337097171767
4.0,2.0,3.0,25.97917280396149,311.0,No,164.0748218779106,667.4204738170387,Good,Good,High_spent_Large_value_payments,33.0,88640.24,3.0,6.0,1.0,2.0,7266.686666666667,3.51,950.36,135.17337097171767
4.0,2.0,3.0,30.87079911079545,312.0,No,98.44195128223792,733.0533444127112,Good,Good,High_spent_Large_value_payments,33.0,88640.24,3.0,6.0,1.0,2.0,7266.686666666667,3.51,950.36,135.17337097171767
10.0,8.0,3.0,25.64924606724341,322.0,Yes,243.73543739209438,378.54048018698535,Standard,Standard,Low_spent_Small_value_payments,35.0,54392.16,6.0,4.0,14.0,3.0,4766.68,5.54,179.22,124.39208242092045
10.0,10.0,3.0,29.40877527612245,323.0,Yes,142.75186411942676,459.52405345965286,Standard,Standard,Low_spent_Small_value_payments,35.0,54392.16,6.0,4.0,14.0,3.0,4766.68,5.54,179.22,124.39208242092045
15.0,11.0,3.0,31.25892846912917,324.0,NM,33.349568589344514,558.9263489897351,Standard,Standard,Low_spent_Small_value_payments,35.0,54392.16,6.0,4.0,14.0,3.0,4766.68,5.54,179.22,124.39208242092045
10.0,7.0,3.0,27.19258740532601,325.0,Yes,494.8422277056662,147.43368987341347,Standard,Standard,Low_spent_Small_value_payments,35.0,54392.16,6.0,4.0,14.0,3.0,4766.68,5.54,179.22,124.39208242092045
10.0,8.0,3.0,34.59532445612005,326.0,Yes,233.1184454152274,409.15747216385233,Standard,Standard,Low_spent_Small_value_payments,35.0,54392.16,6.0,4.0,14.0,3.0,4766.68,5.54,179.22,124.39208242092045
10.0,8.0,3.0,23.195025404792624,327.0,Yes,635.1465605054178,7.129357073661937,Standard,Standard,Low_spent_Small_value_payments,35.0,54392.16,6.0,4.0,14.0,3.0,4766.68,5.54,179.22,124.39208242092045
10.0,8.0,7.0,35.112531991297786,328.0,Yes,158.11240346721374,464.1635141118658,Standard,Standard,Low_spent_Small_value_payments,35.0,54392.16,6.0,4.0,14.0,3.0,4766.68,5.54,179.22,124.39208242092045
10.0,8.0,7.0,32.8788050668308,329.0,Yes,495.1178978821161,147.15801969696355,Standard,Standard,Low_spent_Small_value_payments,35.0,54392.16,6.0,4.0,14.0,3.0,4766.68,5.54,179.22,124.39208242092045
23.0,9.0,6.0,24.523163853918167,107.0,Yes,13.066209919444336,272.2984679091685,Poor,Standard,Low_spent_Large_value_payments,39.0,8701.545,6.0,5.0,32.0,7.0,519.12875,8.86,2602.69,36.54819717138717
23.0,9.0,6.0,39.90251759709182,108.0,Yes,34.71516393565097,250.64951389296183,Poor,Standard,Low_spent_Large_value_payments,39.0,8701.545,6.0,5.0,32.0,7.0,519.12875,8.86,2602.69,36.54819717138717
23.0,9.0,6.0,36.47591386327275,109.0,NM,45.6509755447516,239.71370228386124,Poor,Standard,Low_spent_Large_value_payments,39.0,8701.545,6.0,5.0,32.0,7.0,519.12875,8.86,2602.69,36.54819717138717
22.0,7.0,6.0,32.09749227865355,110.0,Yes,20.390183876957128,284.9744939516557,Poor,Standard,Low_spent_Large_value_payments,39.0,8701.545,6.0,5.0,32.0,7.0,519.12875,8.86,2602.69,36.54819717138717
22.0,9.0,6.0,37.16937449181636,111.0,Yes,50.486952198712274,254.87772562990054,Poor,Standard,Low_spent_Large_value_payments,39.0,8701.545,6.0,5.0,32.0,7.0,519.12875,8.86,2602.69,36.54819717138717
23.0,6.0,6.0,28.570031407996357,112.0,Yes,52.931613407134115,242.43306442147872,Poor,Standard,Low_spent_Large_value_payments,39.0,8701.545,6.0,5.0,32.0,7.0,519.12875,8.86,2602.69,36.54819717138717
21.0,9.0,9.0,38.46541540543407,112.0,Yes,30.471806299271933,264.8928715293409,Poor,Standard,Low_spent_Large_value_payments,39.0,8701.545,6.0,5.0,32.0,7.0,519.12875,8.86,2602.69,36.54819717138717
23.0,9.0,9.0,28.815537059010616,114.0,NM,34.71516393565097,264.7720511316515,Poor,Standard,Low_spent_Large_value_payments,39.0,8701.545,6.0,5.0,32.0,7.0,519.12875,8.86,2602.69,36.54819717138717
16.0,14.0,5.0,37.41820916883601,218.0,NM,53.104599112612064,337.1522635235368,Standard,Standard,Low_spent_Small_value_payments,37.0,25546.26,8.0,7.0,14.0,5.0,2415.855,7.83,758.44,101.3286373638512
16.0,13.0,5.0,29.711375540929517,219.0,Yes,300.32323168069064,129.9336309554582,Standard,Standard,Low_spent_Small_value_payments,37.0,25546.26,8.0,7.0,14.0,5.0,2415.855,7.83,758.44,101.3286373638512
16.0,10.0,5.0,25.413616742350907,220.0,Yes,91.21658676189335,319.0402758742555,Standard,Standard,Low_spent_Small_value_payments,37.0,25546.26,8.0,7.0,14.0,5.0,2415.855,7.83,758.44,101.3286373638512
16.0,10.0,5.0,35.946278218900645,221.0,Yes,83.7147504914459,306.54211214470297,Standard,Standard,Low_spent_Small_value_payments,37.0,25546.26,8.0,7.0,14.0,5.0,2415.855,7.83,758.44,101.3286373638512
16.0,13.0,5.0,28.2774200145778,222.0,Yes,311.99934746655674,118.2575151695921,Standard,Standard,Low_spent_Small_value_payments,37.0,25546.26,8.0,7.0,14.0,5.0,2415.855,7.83,758.44,101.3286373638512
16.0,10.0,5.0,34.58659948959524,222.0,Yes,61.7307484719951,338.52611416415374,Standard,Standard,Low_spent_Small_value_payments,37.0,25546.26,8.0,7.0,14.0,5.0,2415.855,7.83,758.44,101.3286373638512
16.0,14.0,5.0,30.099067241911712,224.0,Yes,130.30039377019006,299.9564688659588,Standard,Standard,Low_spent_Small_value_payments,37.0,25546.26,8.0,7.0,14.0,5.0,2415.855,7.83,758.44,101.3286373638512
15.0,13.0,5.0,39.33348789822524,225.0,Yes,189.81586133347676,230.44100130267208,Standard,Standard,Low_spent_Small_value_payments,37.0,25546.26,8.0,7.0,14.0,5.0,2415.855,7.83,758.44,101.3286373638512
8.0,14.0,0.0,25.36959679239191,202.0,Yes,81.99883505710139,447.0747000515962,Standard,Standard,High_spent_Small_value_payments,30.0,31993.78,6.0,6.0,7.0,2.0,2942.148333333333,6.28,818.22,45.14129822463578
12.0,14.0,0.0,37.958569410003335,203.0,Yes,104.55723619082673,157.86980351234496,Standard,Standard,High_spent_Small_value_payments,30.0,31993.78,6.0,6.0,7.0,2.0,2942.148333333333,6.28,818.22,45.14129822463578
